page_no,page_data,tab_data,image_data
30,"If the terrain is beyond physical limit of the Traction Pro Mode, notification pop up as described in below image will be displayed on the infotainment system. Please take external aid to tow the car in this situation. 
",,"<img file_path=(image_punch_bsvi_30_1.jpx)>The image shows a notification pop-up on an infotainment system. The notification indicates that the Traction Pro Mode has been disabled due to exceeding the vehicle's physical limit. The message also advises the driver to seek external aid to tow the car. The pop-up displays an ""OK"" button and a timer indicating that the Traction Pro Mode will be enabled again after 5 minutes. A warning symbol is displayed along with the message ""Break Time"". The image also displays the time, location, and other vehicle information. 
</img>
<img file_path=(image_punch_bsvi_30_2.jpx)>The image depicts a notification message displayed on a car's infotainment system. The message indicates that the vehicle's ""Traction Pro Mode"" has been deactivated due to the terrain being beyond its capabilities. It advises the driver to seek external assistance to tow the car. The notification appears on a black background with white text and is situated within the larger context of the infotainment system's interface, which includes elements like volume controls, a music player, and connectivity settings. 
</img>
"
31,,,
32,"KEYS A key is an electronic access and authori zation system available as a standard fea ture with your vehicle. Unlocking Principle The transponder in the ignition key carries a Unique Identification Code (UID). The vehicle unlocks when the code on the key matches with the code on the Engine Man agement Sys-tem (EMS). In case of PEPS variant, Immobilizer function is provided by PEPS ECU. Engine Starting When the key is inserted and the ignition is switched to ON, all codes are commu nicated within key, Immobilizer and EMS. The engine will start only if all the codes match. Loss Of Keys If one of the keys is lost, Contact the TATA MOTORS Authorized Dealer/Service Cen ter immediately. WARNING Do not turn ON ignition switch by using key with any type of metal wound around its grip or in contact with it. This may be detected as ab normal condition by immobilizer and prevent engine from starting. Do not turn ON ignition switch by Do not leave the key in high temper y g p ature areas. The transponder in it will behave abnormally when reused. Do not try to start the vehicle when the Immobilizer indicator lamp on the instrument cluster is glowing. In this condition the vehicle will not start and the vehicles battery will also be drained due to frequent cranking. Do not try to start the vehicle when 
",,"<img file_path=(image_punch_bsvi_32_1.png)>I am sorry, I cannot see or analyze any image. I am a text-based chat assistant and thus I cannot process any audio or visual content. 
</img>
"
33,"Types Of Key Sn Name Remote Key Description Mechanical key Locking all doors 1. Unlocking all door 2 Unlocking all doors 2. Smart Key (PEPS) Locking all doors 1. Approach light 2. Tail gate opening 3. Unlocking all doors 4. Flip Key Unlock 1. Approach Light /follow me 2. Lock 3. Key blade in / out button 4. 
","<tab>The table details different types of keys and their respective functions. There are three types of keys: Mechanical keys, Smart Key (PEPS), and Flip Key.

Mechanical keys are described to have the ability to lock and unlock all doors. Smart Key (PEPS) has additional features like approach lights and tailgate opening, while Flip Key offers convenience with its approach light and key blade functions.

Each key type has a specific name and corresponding remote key features, contributing to different user experiences and preferences.</tab>
","<img file_path=(image_punch_bsvi_33_1.jpx)>The image shows a mechanical key with a black plastic head and a silver metal key blade. The head has a logo that resembles the letter ""T"" with a circle around it. This type of key is described in the provided text as having the ability to lock and unlock all doors of a vehicle.  It is considered a basic type of key, offering only the essential functions for securing the vehicle. 
</img>
<img file_path=(image_punch_bsvi_33_2.jpx)>The image displays a black car key with five buttons. The top button labeled ""1"" is for unlocking all doors. The button labeled ""2"" is for locking all doors. The button labeled ""3"" is for the approach light/follow me function. The button labeled ""4"" is for the key blade in/out button. Lastly, the button labeled ""5"" is for the lock function. This particular key is a flip key, which means it has a key blade that can be flipped out when needed. The key is designed for convenience and functionality, allowing for various features such as unlocking and locking doors, activating approach lights, and accessing the key blade for manual unlocking. 
</img>
<img file_path=(image_punch_bsvi_33_3.jpx)>The image depicts a car key, specifically a Smart Key (PEPS), with numbered labels indicating its functions. The key features a black, rectangular design with a metal loop on top. Number 1 points to a button labeled ""Unlock"" at the top of the key. Number 2 points to a button labeled ""Lock"" located below the ""Unlock"" button. Number 3 points to a button depicting a car with a door opening, indicating the tailgate opening function.  Number 4 points to a small button on the side of the key, likely for releasing the key blade. Number 5 points to a button labeled ""Panic,"" located at the bottom of the key. This key, categorized as a Smart Key (PEPS), provides advanced features such as approach lights and tailgate opening, enhancing convenience and security for the user. 
</img>
"
34,"SMART KEY (if available) Keep the smart key with user to perform the passive access. It is used for locking, unlocking and starting the vehicle. Locking all doors 1. Approach Light 2. Locking All Doors Press the lock button once (1) to lock all the doors of the vehicle. Successful lock will be indicated by two flashes of turn signal indicators. Approach Light This feature helps to find and reach the parked vehicle. When you press approach light button (2) once, position lamps or low beam and po sition lamps will turn ON. To switch OFF the approach lights, press and release the same button or it automat ically turns OFF after certain time. Tail Gate Opening Unlocking All Doors Press the unlock button once (4) to unlock all the doors. Successful unlock will be indicated by one flashes of turn signal indicators. Press the tail gate opening button once (3) to unlock the tailgate. Tail gate opening 3. Unlocking all doors 4. NOTE If smart key battery is low/drained or ve hicle battery is low/drained, user can unlock and enter into vehicle by using mechanical key blade, which is present inside the smart key. 
",,"<img file_path=(image_punch_bsvi_34_1.jpx)>The image shows a car key with four buttons. The top button (labeled 4) is used to unlock all doors. The next button down (labeled 3) is used to open the tailgate. The button below that (labeled 2) is used to turn on the approach lights. The bottom button (labeled 1) is used to lock all doors. The image also includes a mechanical key blade that can be used to unlock the car if the smart key battery is low or drained.  The smart key can be used to lock and unlock the doors and start the vehicle.  It can also be used to activate the approach lights, which helps to illuminate the area around the vehicle.</img>
<img file_path=(image_punch_bsvi_34_2.png)>I am sorry, I cannot see or analyze any image as I am a text-based chat assistant and do not have the capability to process any image. 
</img>
"
35,"Key Blade In/out Slide the knob (1) to release the key. Pull the key blade (2) out. SMART KEY FEATURES Force Panic ON Operation When vehicle is in OFF condition, if we press lock button and unlock button simul taneously, Force panic operation gets ac tivated. In this case, turn indicators of vehicle start flashing and horn will blow au tomatically. Force Panic OFF Operation By pressing any button of smart key, Force panic operation gets deactivated. Vehicle Search In vehicle locked condition, if lock button on smart key is pressed, the turn indica tors of vehicle flashes 4 times. Automatic Activation Of Immobilizer If smart key is not found within the passen ger compartment, engine will be immobi lized and vehicle cannot start. Auto Locking / Unlocking Of Doors / Auto Relock In PEPS variants, door will get unlocked when ignition is OFF by pressing Start Stop switch. Anti-grab / Anti-scan Coding The remote control set of this security sys tem is protected against the use of devices called scanners and grabbers which can record and reproduce some types of re mote codes. Important Dont operate Unlock button of remote in the vicinity of your vehicle, as it could lead to an unintentional unlock ing your vehicle. For battery, replacement procedure refer MAINTENANCE section. Do not remove the battery connection of the vehicle while the vehicle has been locked by remote. Smart Key Precautions If smart key is close to radio transmitter 1. such as radio station or an airport which can interfere with normal opera tion of the transmitter. If smart key is near a mobile two way 2. radio system or a cellular phone, then it will not work properly. 
",,"<img file_path=(image_punch_bsvi_35_1.jpx)>The image shows a black car key with several buttons. There is a small, black tab on the top of the key that needs to be pushed up and to the right to remove the key blade. The key blade is the metal piece that is used to unlock the car doors. The key blade is indicated by number 2 in the image. The text data provides more information on the key, including its features and precautions.  The image and text are intended to guide users on how to properly use and care for their car key. 
</img>
"
36,"operated close to your vehicle, signal will fluctuate. FLIP KEY Unlock 1. Approach Light /follow me/trunk lid 2. Lock 3. Key blade in / out button 4. 1. Unlocking All Doors To unlock all doors, press unlock push-but ton (1) once. Unlocking will be confirmed by single flash of turn indicators. 2. Approach Light / Follow Me Press approach light button (2) once, low beam, park and roof lamp will turn ON for 60 seconds (default setting). This feature helps to find and reach the parked vehicle or to reach home in dark/ cloudy condition after parking. Red LED will be flashed on the remote. To switch OFF the approach lights, press and release the same button or it automatically turns OFF after 60 sec onds. Tail Gate Opening (if equipped) Electric Tail gate opening can be done through long press (4 sec) approach light button on remote key. 3. Locking All Doors To lock all doors, press lock push-button (3) once. Locking will be con-firmed by two flashes of turn indicators. If lock button is pressed on the remote key with the driver door open, locking-unlock ing takes place with audible warning sound. If any other door is open, the vehi cle gets locked but indicators do not flash. 4. Folding Key Blade In / Out Press button (4) to flip out the key blade. For folding, press the button (4) and fold the key blade inside. WARNING Keep smart key away from electromag netic materials that blocks electromag netic waves to the key surface. 
",,"<img file_path=(image_punch_bsvi_36_1.png)>I am sorry, I cannot see or analyze any image as I am a text-based chat assistant. 
</img>
<img file_path=(image_punch_bsvi_36_2.jpx)>The image shows a car key with four buttons. The top button labeled '1' is used to unlock all the doors of the car, the second button labeled '2' is used to activate the approach lights, the third button labeled '3' is used to lock all the doors of the car and the last button labeled '4' is used to flip the key blade in or out. The key also features a small metal loop at the top for attaching it to a keychain.</img>
"
37,"FLIP KEY FEATURES Vehicle Search In vehicle locked condition if lock button on remote key is pressed the turn indicators of vehicle flashes 4 times. Force Panic ON Operation Force Panic ON operation When vehicle is in OFF condition, if we press lock button and unlock button simultaneously, Force panic operation gets activated. In this case, turn indicators of vehicle start flash ing and horn will blow automatically. Force Panic OFF operation. Force Panic OFF Operation By pressing any button of flip key, Force panic operation gets deactivated Automatic Activation Of Immobilizer If key is removed from ignition, the engine will be immobilized automatically even if you forget to lock the vehicle. Auto Locking / Unlocking Of Doors / Auto Relock Vehicle doors get automatically locked when all doors are closed and the vehicle speed crosses 10 kmph. When ignition key is taken out all the doors get automatically unlocked. Also, when unlocked with remote key and if no door is opened within 30 seconds, ve hicle doors get automatically locked. Anti-grab / Anti-scan Coding The remote control set of this security sys tem is protected against the use of devices called scanners and grabbers which can record and reproduce some types of re mote codes. Important Dont operate Unlock push-button of re mote while in the vicinity of your vehicle, as it could lead to an unintentional unlock ing your vehicle. Dont use discharged batteries in remote, as it could damage the remote. For battery replacement procedure refer maintenance section. Dont remove the battery connection of the vehicle while the vehicle has been locked by remote. Manual Operation Of Central Door Locking / Unlocking All doors can be locked / unlocked operat ing driver door using either key blade from outside or knob from inside. NOTE Key Blade should not be folded without pressing the button. Also, it should not be forced in any direction apart from folding direction to avoid damage to Flip Mechanism. 
",,"<img file_path=(image_punch_bsvi_37_1.jpx)>The image shows a car key with a key blade that can be folded out. The key blade is shown in the folded position, with an arrow pointing to the button that must be pressed to unfold the blade. There is also an arrow showing the direction the blade should be folded in. This key has three buttons, one for unlocking the doors, one for locking the doors, and one for the trunk.  The image is from a car manual that explains the features of the key.  The image illustrates how to use the key blade and highlights the important components of the car key.</img>
<img file_path=(image_punch_bsvi_37_2.png)>I am sorry, I cannot see or analyze any image as I am a text-based chat assistant and do not have the ability to process any image. 
</img>
"
38,"DOORS Door Lock And Unlock With Key (if available) The front doors can be locked or un- locked from outside using the key blade. Insert the key in the slot and turn it clock wise to lock and anticlockwise to unlock the door. Door Locking And Unlocking Using Door Handle Switch (DHS) To lock/unlock all the doors without oper ating smart key button/ key blade. Press the door handle switch (DHS) provided on the driver door to lock/unlock all the four doors including Tail gate. Rear Door Opening Door opening handle is provided on the side of the window. To open the door, press the lever provided inside the handle and pull. NOTE Passive entry works only when igni tion is off. Passive entry works only when igni Authentication range for smart key ranges from 1 to 1.5 meters from outside the respective door or tail gate. Authentication range for smart key 
",,"<img file_path=(image_punch_bsvi_38_1.jpx)>The image shows a car door handle with a keyhole. The handle has a small lever on the inside, which can be pressed and pulled to open the door. The image also features a diagram illustrating how to lock and unlock the door using the key. To lock the door, the key should be turned clockwise, and to unlock it, the key should be turned anticlockwise. The keyhole is located underneath the handle, and the lever is located on the inside of the handle. The image does not provide any information about the car's model or make.</img>
<img file_path=(image_punch_bsvi_38_2.jpx)>The image shows a car door handle with an arrow pointing to a small button located below the handle. This button is referred to as the Door Handle Switch (DHS) in the provided text. The text explains that this switch can be used to lock or unlock all four doors of the car, including the tailgate. To lock or unlock, simply press the DHS on the driver's side door. The image does not show the keyhole, but the text mentions that the front doors can also be locked or unlocked using a key blade inserted into the keyhole. 
</img>
<img file_path=(image_punch_bsvi_38_3.png)>I am sorry, I cannot see or analyze any image as I am a text-based chat assistant and do not have the capability to process images. 
</img>
<img file_path=(image_punch_bsvi_38_4.jpx)>The image shows a close-up of the rear door handle of a vehicle. The handle is black and is located on the side of the window. There is a small lever inside the handle that needs to be pressed and then the door can be pulled open. A curved arrow points to the handle, indicating the location of the door handle.  </img>
"
39,"WINDOWS Power Windows (if available) Front Window Winding Switch (Left) 1. Front Window Winding Switch (Right) 2. Rear Window Winding Switch (Left) 3. Rear Window Winding Switch (Right) 4. Inhibit Switch 5. Window glasses on all four doors can be operated by switches provided on the main control panel located on the drivers arm rest. They work only when the key is in the IGN ON position. Locking Without A Key From Inside All the doors can also be locked from in side by pressing lever on driver door and independently on other doors respectively. Opening The Doors From Inside All doors can be opened from inside. To open, pull the door opening lever. All doors can be unlocked by pulling the inside re lease lever to the intermediate position. When it is further articulated will unlatch the door and can be opened. 
",,"<img file_path=(image_punch_bsvi_39_1.jpx)>The image shows a car door panel with a door handle. The handle is a chrome finish and is used to open the door. A white arrow points to the handle in a circular motion, indicating that the handle is pulled to open the door. The panel also has a speaker grille located below the handle. 
</img>
<img file_path=(image_punch_bsvi_39_2.jpx)>The image shows the interior of a car door, specifically the door handle. A white arrow points to the right, indicating the direction to pull the door handle to open the door. The door handle is a silver rectangular shape with a black plastic surrounding it. A black plastic cover with a speaker grille is visible to the right of the handle. This image illustrates how to open a car door from the inside, as described in the provided text. The text mentions that all doors can be opened from inside by pulling the door opening lever, which is the handle shown in the image. 
</img>
<img file_path=(image_punch_bsvi_39_3.jpx)>The image shows the control panel for the power windows on a car, located on the driver's armrest. The panel has five buttons, each labeled with a number. The front left window is controlled by button 1, the front right window by button 2, the rear left window by button 3, and the rear right window by button 4. Button 5 is the inhibit switch, which can be used to disable the power windows. The panel is designed to be intuitive and easy to use, with the buttons clearly labeled and arranged in a logical order.</img>
"
40,"Individual Switches Individual window winding switches have been provided on the front passenger and rear doors. Glasses are wound up or down by pulling or pressing the switch. Inhibit Switch Inhibit Switch ON When switch is pressed, Amber light turns ON. The individual switches provided on rear and front passenger door Express Down (if available) Window glasses can be opened by a sin gle long press of the switch. Express down feature is provided for the drivers door only. NOTE WARNING While raising the glass, take care to avoid fingers/hands getting trapped be tween glass and the door frame. Power windows can be operated for 30 seconds in IGN OFF and KEY OUT positions, provided the doors are closed. 
",,"<img file_path=(image_punch_bsvi_40_1.png)>I am sorry, I cannot see or analyze any image as I am a text-based chat assistant and do not have the functionality to process images. 
</img>
<img file_path=(image_punch_bsvi_40_2.jpx)>The image shows a close-up view of a car door's interior, highlighting the ""Inhibit Switch."" This switch is located on the front passenger door and is indicated by an arrow. When pressed, the switch activates an amber light, and it functions to prevent the automatic operation of the windows. It is important to note that the individual window winding switches for both the front passenger and rear doors are not shown in this image. The text accompanying the image provides further information about the functionality of the inhibit switch and the individual window switches, including details about the ""Express Down"" feature and safety precautions. 
</img>
<img file_path=(image_punch_bsvi_40_3.jpx)>The image depicts a hand pressing a button to operate a window in a car. The button is on the front passenger or rear door, and the direction of the arrow on the button indicates that the window is being rolled up. To roll the window down, the button is pulled. The image shows a finger pressing down on the button to roll the window up.</img>
<img file_path=(image_punch_bsvi_40_4.jpx)>The image shows a side view of a car door with a window being lowered. The window is being lowered by pulling on a switch, and the direction of movement is indicated by an arrow pointing downwards. The word ""DOWN"" is written next to the arrow, indicating that the window is being lowered. This image illustrates how to operate the individual window winding switches in a car. The text provided details that the switches are located on the front passenger and rear doors, and the windows can be wound up or down by pulling or pressing the switch. The text also provides additional details about the inhibit switch, express down feature, and safety precautions to be taken while operating the power windows. 
</img>
<img file_path=(image_punch_bsvi_40_5.png)>I am sorry, I cannot see or analyze any image as I am a text-based chat assistant and do not have the functionality to process any image. 
</img>
<img file_path=(image_punch_bsvi_40_6.jpx)>The image shows the power window controls in a car. The controls are located on the driver's side door panel and consist of four individual switches for each window, as well as an inhibit switch. The inhibit switch is located at the bottom of the panel and is marked with an arrow. When the inhibit switch is pressed, the amber light turns on and the individual window switches are disabled. The express down feature is only available for the driver's door window, and allows the window to be lowered completely with a single long press of the switch. The text data also provides warnings about using the power windows, including the importance of avoiding fingers or hands getting trapped between the glass and the door frame. Additionally, the power windows can be operated for 30 seconds even when the ignition is off and the key is removed, as long as the doors are closed. 
</img>
<img file_path=(image_punch_bsvi_40_7.jpx)>The image shows a car's power window control panel. It features a single large button in the center, likely the master control for all windows, and a smaller button to the right which could be an inhibit switch. The image is grainy and blurry, making it difficult to determine the exact layout and function of the buttons.  The provided text data explains the different functionalities of the power windows, including individual switches for each window, an inhibit switch, and an express down feature for the driver's side window. It also emphasizes the importance of safety while operating the power windows to avoid trapping fingers or hands. 
</img>
"
41,"cannot be operated. However, it can be operated from the switches on drivers arm rest Inhibit Switch OFF When switch is pressed, Amber light turns OFF. The individual switches provided on rear and front passenger door can be operated. It can also be operated from the switches on drivers arm rest. . Manual Window Winding (if available) Use window winder handle for lowering or raising up window glasses manually where power windows are not provided. Opening The Bonnet Make sure that the engine is switched 1. off and vehicle is in neutral gear with the parking brake applied. Pull the bonnet release lever. The bon 2. net will pop up slightly. For MT WARNING If children operate the windows they could be get trapped, particularly if they are left unsupervised. There is a risk of injury. If children operate the windows they Activate the window inhibit feature when children are travel-ling. When leaving the vehicle, always take the key with you and lock the vehicle. Never leave children unsupervised in the vehicle. Activate the window inhibit feature 
",,"<img file_path=(image_punch_bsvi_41_1.png)>I am sorry, I cannot see or analyze any image as I am only a text-based chat assistant and do not have the functionality to process any image. 
</img>
<img file_path=(image_punch_bsvi_41_2.jpx)>The image shows a manual window winder handle. The handle is black and has a round knob at the end. Two black arrows are drawn in a circle around the handle to indicate that the handle should be turned clockwise to raise the window and counterclockwise to lower the window. This method is used in vehicles that do not have power windows.  The text accompanying the image explains that in vehicles without power windows, a manual window winder handle must be used to lower and raise the window glasses. It also includes warnings about leaving children unsupervised in vehicles, as they could be trapped if they operate the windows without supervision.  The text recommends using the window inhibit feature when traveling with children to prevent them from operating the windows. It also emphasizes the importance of taking the key with you and locking the vehicle when leaving it unattended, particularly when children are present. 
</img>
<img file_path=(image_punch_bsvi_41_3.jpx)>The image shows the location of the bonnet release lever in a vehicle. The lever is located on the driver's side of the dashboard, near the steering wheel. The arrow indicates the direction to pull the lever to release the bonnet. The image also includes a black and white illustration of the foot pedals, which is likely meant to be a visual aid for the user to find the location of the bonnet release lever.  The image emphasizes safety precautions regarding children and the windows, suggesting the use of the window inhibit feature when traveling with children. 
</img>
<img file_path=(image_punch_bsvi_41_4.jpx)>The image shows a close-up of the interior of a car, specifically the driver's side door panel. The image focuses on the power window controls, which are located on the door panel. The switches allow the driver to control the electric windows, with a dedicated switch for each window. The image also shows the manual window winder, which is a backup mechanism for lowering and raising the window glass manually in case of a power failure. This feature is commonly found in older or budget-friendly vehicles. The image emphasizes safety precautions, highlighting the potential hazards of leaving children unsupervised in a vehicle with power windows. The image also includes instructions on how to safely open the vehicle's bonnet, emphasizing the importance of switching off the engine and engaging the parking brake.</img>
"
42,"Lift the bonnet up. Pull the bonnet stay 4. rod from its clip and put the free end into the slot provided on frame. For AMT Lift the bonnet slightly and with your 3. finger and slide the secondary lock lever located under the center of the bonnet NOTE Make sure that the wiper arms are not raised and not operate before you lift up the bonnet to avoid damaging the wiper arms and the bonnet. WARNING The stay rod can be hot enough to burn your finger right after driving. Touch the rod after it becomes cool enough. The stay rod can be hot enough to Put the stay rod into the hole cor rectly. If the rod drops off, your body may be caught below the bonnet. Put the stay rod into the hole cor Deactivate the Idle Stop Start (ISS) function for any operation to be per formed in the Engine compartment. Deactivate the Idle Stop Start (ISS) 
",,"<img file_path=(image_punch_bsvi_42_1.jpx)>The image shows a close-up of a car's dashboard with a focus on the bonnet release lever. The lever is located on the left side of the steering wheel, near the dashboard. A white arrow indicates the direction to move the lever, which is counter-clockwise, to release the bonnet. There is a small black panel next to the lever, presumably for accessing the secondary bonnet lock lever. The bonnet is partially open, revealing a black grille and the bonnet stay rod, which is used to hold the bonnet open. The image emphasizes the importance of deactivating the Idle Stop Start (ISS) function before performing any operation in the engine compartment.  The text data suggests that the stay rod can be hot after driving, and caution is needed to avoid burns. The image suggests that the bonnet can be lifted by pulling the stay rod from its clip and putting the free end into the slot provided on the frame. 
</img>
<img file_path=(image_punch_bsvi_42_2.png)>I am sorry, I cannot see or analyze any image as I am only a text-based chat assistant and do not have the capability to process image data. 
</img>
<img file_path=(image_punch_bsvi_42_3.jpx)>The image shows the front of a car with the hood slightly raised. An arrow points to a metal rod that has been pulled out of its clip and is being inserted into a slot on the frame of the car. This rod acts as a stay to hold the hood up. The text provided warns that the rod may be hot after driving, and users should ensure that the wiper arms are not raised before lifting the hood to avoid damage. Additionally, the text advises deactivating the Idle Stop Start (ISS) function before performing any operations in the engine compartment.  
</img>
<img file_path=(image_punch_bsvi_42_4.png)>I am sorry, I cannot see or analyze any image as I am a text-based chat assistant and do not have the ability to process any image. 
</img>
"
43,"Closing TAIL GATE OPENING To close the bonnet, hold the bon-net 1. by one hand, disengage the stay rod and clamp it back properly. Option II If the vehicle is locked, tail gate is closed and tail gate DHS switch is pressed with valid smart key in the authentication range the tail gate gets unlatched. On closing the tail gate door, it gets locked. While closing the tail gate, if doors are in locked condition and valid smart key is in side the trunk, then tail gate gets unlocked. Lower the bonnet close to the bumper, 2. then let it drop down. Option I To release the tailgate, press the tail gate button on the remote. switch within 30 seconds to open it. NOTE Some variants may have multiple op tions. WARNING Make sure that the bonnet is correctly locked or it can fly up unexpectedly when you drive. NOTE Press the tail gate button on smart key and press the tail gate door handle 
",,"<img file_path=(image_punch_bsvi_43_1.png)>I am sorry, I cannot see or analyze any image as I am only a text-based chat assistant. 
</img>
<img file_path=(image_punch_bsvi_43_2.png)>I am sorry, I cannot see or analyze any image as I am a text-based chat assistant and do not have the functionality to process any image. 
</img>
<img file_path=(image_punch_bsvi_43_3.jpx)>The image shows a car key with a black rubber exterior. There are four buttons on the key. The top button has an icon of a car with a door open, the second button has an icon of headlights, the third button has an icon of a car with a trunk open, and the bottom button has an icon of a car with a door closed. A black arrow points to the third button from the top, highlighting the ""trunk open"" icon. The provided text explains that this button can be used to open the tail gate of the car. 
</img>
<img file_path=(image_punch_bsvi_43_4.jpx)>The image shows the rear of a car with the tailgate open. A white arrow points down towards the latch of the tailgate, which is located just above the car's license plate. The latch is the mechanism that secures the tailgate in place when closed. The text provided describes two ways to open the tailgate: Option I uses a button on the remote, while Option II uses a button on the smart key and the tailgate handle. It also explains how to close the tailgate and warns users to ensure the tailgate is properly locked before driving to avoid it opening unexpectedly. 
</img>
"
44,"FUEL LID To release the fuel flap, pull the lever lo cated at the right hand side below the driver seat. For opening, open the fuel cap, turn it counter clockwise. For closing, turn the fuel cap clockwise and gently push the fuel flap till it gets locked. Open driver door using mechanical 1. key. Open driver door using mechanical 1. Open the rear door. 2. Fold the rear seat. 3. Option III Emergency Tailgate Opening In emergency situation like key or vehicle battery is discharged or electrical malfunc tioning, you can unlock the tailgate from in side as per procedure given below: And access the tailgate opening lever 4. from inside. Turn the lever clockwise to unlatch and 5. open the tailgate. NOTE Once tail gate is opened, it will not get locked automatically with other doors. Once tail gate is opened, it will not If the doors are unlocked, the tail gate can be unlocked via tail gate handle switch without smart key. If the doors are unlocked, the tail Do not keep the smart key in the boot when you close the tail gate. Do not keep the smart key in the WARNING Tail gate cant be locked using mechan ical key/ flip key/ smart key. It has to be locked by slamming it. NOTE This can be used in emergency situa tion when you are inside the vehicle. 
",,"<img file_path=(image_punch_bsvi_44_1.png)>I am sorry, I cannot see or analyze any image as I am a text-based chat assistant and thus I cannot provide you with a summary. 
</img>
<img file_path=(image_punch_bsvi_44_2.jpx)>The image shows the location of the emergency tailgate opening lever inside a vehicle. The lever is located in the rear cargo area, and is circled in the image. It is a small, silver lever that is used to unlock the tailgate from the inside in an emergency situation. To unlock the tailgate, the lever must be turned clockwise. The image also shows the tailgate latch mechanism, which is located on the tailgate itself. The latch mechanism is labeled ""UNLOCK,"" and it is also shown in a zoomed-in section. The tailgate latch mechanism is used to lock and unlock the tailgate from the outside.</img>
<img file_path=(image_punch_bsvi_44_3.png)>I am sorry, I cannot see or analyze any image as I am a text-based chat assistant and do not have the functionality to process image data. 
</img>
<img file_path=(image_punch_bsvi_44_4.jpx)>The image shows a close-up of the lever that releases the fuel flap. The lever is located at the right hand side below the driver seat. The image also shows a small circle with a fuel pump symbol and an arrow pointing to the lever. This is a visual representation of the text provided about how to release the fuel flap. The fuel flap is opened by pulling the lever and the fuel cap can be opened by turning it counter clockwise. To close the fuel cap, turn it clockwise and gently push the fuel flap until it locks.</img>
"
45," NOTE To fill up the fuel, the Engine must be stopped by turning OFF the Igni tion Key / Start-Stop button. If the Engine is in Idle Stop Start (ISS) mode, it may restart automatically while filling the fuel. To fill up the fuel, the Engine must Remove the fuel filler cap slowly, and wait for any hissing to stop. The fuel may be under pressure and may spray out. Remove the fuel filler cap slowly, If fuel cap needs replacement, make sure that it is replaced by a genuine cap at the TATA MOTORS author ized service center. WARNING If fuel cap needs replacement, make Fuel vapor is extremely hazardous. Always switch OFF the engine be fore refueling and never refill near sparks or open flames. Do not use cell phone when you fill fuel. Fuel vapor is extremely hazardous. Do not continue adding fuel after the automatic shut OFF function is op erated if it is equipped on the fuel station. Overfilling the fuel tank could damage the fuel system. Do not continue adding fuel after the 
 NOTE To fill up the fuel, the Engine must be stopped by turning OFF the Igni tion Key / Start-Stop button. If the Engine is in Idle Stop Start (ISS) mode, it may restart automatically while filling the fuel. To fill up the fuel, the Engine must Remove the fuel filler cap slowly, and wait for any hissing to stop. The fuel may be under pressure and may spray out. Remove the fuel filler cap slowly, If fuel cap needs replacement, make sure that it is replaced by a genuine cap at the TATA MOTORS author ized service center. WARNING If fuel cap needs replacement, make Fuel vapor is extremely hazardous. Always switch OFF the engine be fore refueling and never refill near sparks or open flames. Do not use cell phone when you fill fuel. Fuel vapor is extremely hazardous. Do not continue adding fuel after the automatic shut OFF function is op erated if it is equipped on the fuel station. Overfilling the fuel tank could damage the fuel system. Do not continue adding fuel after the 
",,"<img file_path=(image_punch_bsvi_45_1.jpx)>The image shows a car's fuel filler cap being opened. The fuel filler cap is located on the right side of the car, behind the rear tire. An arrow points to the fuel filler cap and the word ""OPEN"" is written in large letters below it. The image emphasizes that to fill up the fuel, the engine must be stopped by turning off the ignition key/start-stop button, the fuel filler cap must be removed slowly and if the cap needs replacement, it should be replaced by a genuine cap at the TATA MOTORS authorized service center. The warning states that fuel vapor is extremely hazardous and the engine must be switched off before refueling and never refilled near sparks or open flames. The warning also advises not to use a cell phone while refueling. Overfilling the fuel tank could damage the fuel system, therefore, adding fuel after the automatic shut off function is operated if it is equipped on the fuel station should be avoided. 
</img>
<img file_path=(image_punch_bsvi_45_2.png)>I am sorry, I cannot see or analyze any image as I am a text-based chat assistant. I can only process text. 
</img>
<img file_path=(image_punch_bsvi_45_3.png)>I am sorry, I cannot see or analyze any image as I am a text-based chat assistant and do not have the functionality to process any image. 
</img>
"
