page_no,page_data,tab_data,image_data
48," WARNING Improperly positioned seat belts may increase the risk of serious injury in an accident.Take the following precautions when adjusting the seat belt: Position the lap portion of the seat belt as low as possible across your hips, not on your waist, so that it fits snugly.This allows your strong pelvic bones to absorb the force of the crash, reducing the chance of internal injuries. Position one arm under the shoulder belt and the other over the belt, as shown in the illustration. Always position the shoulder belt anchor into the locked position at the appropriate height. Never position the shoulder belt across your neck or face. WARNING You should place the lap belt portion as low as possible and snugly across your hips, not on your waist. If the lap belt is located too high on your waist, it may increase the chance of injury in the event of a collision. Both arms should not be under or over the belt. Rather, one should be over and the other under, as shown in the illustration. Never wear the seat belt under the arm nearest the door. 
",,"<img file_path=(image_hyundai_exter_48_1.jpeg)>The image shows a person properly wearing a seatbelt. The lap portion of the seatbelt is positioned low across their hips, and the shoulder belt is positioned across their chest. One arm is placed under the shoulder belt and the other arm is placed over the shoulder belt. The image also includes an arrow pointing down to the lap portion of the seatbelt, emphasizing that the lap portion should be positioned as low as possible. This correct positioning of the seatbelt allows the strong pelvic bones to absorb the force of a crash, reducing the chance of internal injuries.</img>
"
49,"To release the seat belt: The seat belt is released by pressing the release button (1) in the locking buckle. When it is released, the belt should automatically draw back into the retractor. If this does not happen, check the belt to be sure it is not twisted, then try again. 3-point rear center seat belt OAI3039041 OAI3039041 Insert the tongue plate (1) into the buckle (2) until an audible click is heard, indicating the latch is locked make sure the belt is not twisted. When using the rear center seat belt, the buckle with the CENTER mark must be used. i Information If you are not able to pull out the safety belt from the retractor, firmly pull the belt out and release it. After release, you will be able to pull the belt out smoothly. WARNING The center lap belt latching mechanism is different from those for the rear seat shoulder belts. When fastening the rear seat shoulder belts or the center lap belt, make sure they are inserted into the correct buckles to obtain maximum protection from the seat belt system and assure proper operation. 
",,"<img file_path=(image_hyundai_exter_49_1.jpeg)>The image shows a person fastening their seatbelt. The image shows the correct way to fasten the seatbelt, with the tongue plate (1) inserted into the buckle (2) until an audible click is heard, indicating the latch is locked. The image also shows the release button (1) on the locking buckle that should be pressed to release the seatbelt. The seatbelt should automatically draw back into the retractor after being released. If the belt does not retract automatically, check to be sure it is not twisted and try again.</img>
<img file_path=(image_hyundai_exter_49_2.jpeg)>The image depicts the rear center seat belt buckle. The buckle is composed of two parts: the tongue plate (1) and the buckle (2). To secure the belt, the tongue plate must be inserted into the buckle until an audible click is heard, indicating that the latch is locked. It is important to ensure the belt is not twisted before securing it. The buckle marked with ""CENTER"" must be used for the rear center seat belt. The image also highlights the release button (1) on the locking buckle, which is used to release the seat belt. When the button is pressed, the belt should automatically retract into the retractor. If the belt does not retract, it should be checked for any twists before trying again. The image provides a visual representation of the steps involved in fastening and releasing the rear center seat belt, emphasizing the importance of using the correct buckle for maximum protection. 
</img>
"
50,"Pre-tensioner seat belt OAI3V033055 OAI3V033055 Your vehicle is equipped with drivers and front passengers pre-tensioner seat belts (retractor pre-tensioner).The purpose of the pre-tensioner is to make sure the seat belts fit tightly against the occupants body in certain frontal or side collision(s). The pre-tensioner seat belts may be activated in crashes where the frontal or side collision(s) is severe enough, together with the airbags. When the vehicle stops suddenly, or if the occupant tries to lean forward too quickly, the seat belt retractor will lock into position. In certain frontal collisions, the pre-tensioner will activate and pull the seat belt into tighter contact against the occupants body. (1) Retractor PretensionerThe purpose of the retractor pretensioner is to make sure that the shoulder belts fit in tightly against the occupants upper body in certain frontal or side collision(s). (2) Emergency Fastening Device System The purpose of the Emergency Fastening Device System is to make sure that the pelvis belts fit in tightly against the occupants lower body in certain frontal or side collision(s).If the system senses excessive tension on the driver or passengers seat belt when the pre-tensioner system activates, the load limiter inside the retractor pre-tensioner will release some of the pressure on the affected seat belt. WARNING For your safety, be sure that the belt webbing is not loose or twisted and always sit properly on your seat. WARNING  Always wear your seat belt and sit properly in your seat.  Do not use the seat belt if it is loose or twisted. A loose or twisted seat belt will not protect you properly in an accident.  Do not place anything near the buckle. This may adversely affect the buckle and cause it to function improperly.  Always replace your pre-tensioners after activation or an accident.  NEVER inspect, service, repair or replace the pre-tensioners by yourself. This must be done by an authorized HYUNDAI dealer.  Do not hit the seat belt assemblies. WARNING Do not touch the pre-tensioner seat belt assemblies for several minutes after they have been activated. When the pre-tensioner seat belt mechanism deploys during a collision, the pre- tensioner can become hot and can burn you. 
Pre-tensioner seat belt OAI3V033055 OAI3V033055 Your vehicle is equipped with drivers and front passengers pre-tensioner seat belts (retractor pre-tensioner).The purpose of the pre-tensioner is to make sure the seat belts fit tightly against the occupants body in certain frontal or side collision(s). The pre-tensioner seat belts may be activated in crashes where the frontal or side collision(s) is severe enough, together with the airbags. When the vehicle stops suddenly, or if the occupant tries to lean forward too quickly, the seat belt retractor will lock into position. In certain frontal collisions, the pre-tensioner will activate and pull the seat belt into tighter contact against the occupants body. (1) Retractor PretensionerThe purpose of the retractor pretensioner is to make sure that the shoulder belts fit in tightly against the occupants upper body in certain frontal or side collision(s). (2) Emergency Fastening Device System The purpose of the Emergency Fastening Device System is to make sure that the pelvis belts fit in tightly against the occupants lower body in certain frontal or side collision(s).If the system senses excessive tension on the driver or passengers seat belt when the pre-tensioner system activates, the load limiter inside the retractor pre-tensioner will release some of the pressure on the affected seat belt. WARNING For your safety, be sure that the belt webbing is not loose or twisted and always sit properly on your seat. WARNING  Always wear your seat belt and sit properly in your seat.  Do not use the seat belt if it is loose or twisted. A loose or twisted seat belt will not protect you properly in an accident.  Do not place anything near the buckle. This may adversely affect the buckle and cause it to function improperly.  Always replace your pre-tensioners after activation or an accident.  NEVER inspect, service, repair or replace the pre-tensioners by yourself. This must be done by an authorized HYUNDAI dealer.  Do not hit the seat belt assemblies. WARNING Do not touch the pre-tensioner seat belt assemblies for several minutes after they have been activated. When the pre-tensioner seat belt mechanism deploys during a collision, the pre- tensioner can become hot and can burn you. 
",,"<img file_path=(image_hyundai_exter_50_1.jpeg)>The image shows a driver and a passenger seated in the front row of a car. The driver is wearing a seatbelt with a retractor pretensioner that is marked with the number 1. The retractor pretensioner makes sure the shoulder belt fits tightly against the occupant's upper body during a frontal or side collision. The passenger is also wearing a seatbelt, but the image does not show what kind of seatbelt they are wearing. The image also shows an emergency fastening device system on the passenger side, which is marked with the number 2. The emergency fastening device system is located in the lower part of the passenger seat belt and makes sure the pelvis belt fits tightly against the occupants lower body in certain frontal or side collisions. The image demonstrates the location of these safety features and how they work in the event of a car accident.  The image also includes text warnings about the importance of wearing seatbelts and properly adjusting them. 
</img>
"
51,"NOTICE The sensor that activates the SRS control module is connected with the pretensioner seat belts. The SRS airbag warning light on the instrument cluster will illuminate for approximately 6 seconds after the ignition switch is placed in the ON position, and then it should turn off. If the pre-tensioner is not working properly, the warning light will illuminate even if the SRS airbag is not malfunctioning. If the warning light does not illuminate, stays illuminated or illuminates when the vehicle is being driven, we recommend the pre- tensioner seat belts and/or SRS control module be inspected by an authorized HYUNDAI dealer as soon as possible. CAUTION Body work on the front area of the vehicle may damage the pre-tensioner seat belt system. Therefore, we recommend the system to be serviced by an authorized HYUNDAI dealer. OAC3033048TU OAC3033048TU The seat belt pre-tensioner system consists mainly of the following components. Their locations are shown in the illustration: (1) SRS airbag warning light (2) Retractor pre-tensioner assembly (3) SRS control module (4) Emergency Fastening Device (EFD) system (Driver only) i Information  Both the drivers and front passengers pre-tensioner seat belts may be activated in certain frontal or side collisions.  When the pre-tensioner seat belts are activated, a loud noise may be heard and fine dust, which may appear to be smoke, may be visible in the passenger compartment. These are normal operating conditions and are not hazardous.  Although it is non-toxic, the fine dust may cause skin irritation so you should not be inhaled for prolonged periods. Wash all exposed skin areas thoroughly after an accident in which the pre- tensioner seat belts were activated. 
",,"<img file_path=(image_hyundai_exter_51_1.png)>The image shows a diagram of a car's interior with the locations of the components of the seat belt pre-tensioner system. The system includes a warning light on the instrument cluster, a retractor pre-tensioner assembly on the driver and passenger seats, an SRS control module located in the passenger compartment, and an Emergency Fastening Device (EFD) system on the driver's seat only. The warning light illuminates for six seconds after the ignition is turned on, and if it remains illuminated or illuminates while driving, it indicates a malfunction in the pre-tensioner system. The pre-tensioner system may activate in certain collisions, and the activation may be accompanied by a loud noise and fine dust. The dust is not harmful but may cause skin irritation and should not be inhaled for prolonged periods. 
</img>
"
52,"Additional seat belt safety precautions Seat belt use during pregnancy The seat belt should always be used during pregnancy. The best way to protect your unborn child is to protect yourself by always wearing the seat belt. Pregnant women should always wear a lap-shoulder seat belt. Place the shoulder belt across your chest, routed between your breasts and away from your neck. Place the lap belt below your belly so that it fits SNUGLY across your hips and pelvic bone, under the rounded part of the belly. WARNING Pregnant women and patients are more vulnerable to any impacts on the abdomen during an abrupt stop or accident. If you are in an accident while pregnant, consult your doctor. To reduce the risk of serious injury or death to an unborn child during an accident, pregnant women should NEVER place the lap portion of the seat belt above or over the area of the abdomen where the unborn child is located. Seat belt use and children Infant and small children Most countries have Child Restraint System laws which require children to travel in approved Child Restraint System devices, including booster seats. The age at which seat belts can be used instead of the Child Restraint System differs among countries, so you should be aware of the specific requirements in your country, and where you are travelling. Infant and Child Restraint System must be properly placed and installed in a rear seat. For more information, refer to the Child Restraint Systemsin this chapter. WARNING ALWAYS properly restrain infants and small children in a Child Restraint System appropriate for the childs height and weight. To reduce the risk of serious injury or death to a child and other passengers,NEVER hold a child in your lap or arms when the vehicle is moving.The violent forces created during an accident will tear the child from your arms and throw the child against the interior of the vehicle. Small children are best protected from injury in an accident when properly restrained in the rear seat by a Child Restraint System that meets the requirements of the Safety Standards of your country. Before buying any Child Restraint System, make sure that it has a label certifying that it meets Safety Standard of your country. The Child Restraint System must be appropriate for your childs height and weight. Check the label on the Child Restraint System for this information. Refer to Child Restraint Systems in this chapter. Larger children Children under age 13 and who are too large for a booster seat should always occupy the rear seat and use the available lap/shoulder belts. A seat belt should lie across the upper thighs and be snug across the shoulder and chest to restrain the child safely. Check belt fit periodically. A childs squirming could put the belt out of position.In the event of an accident, children are afforded the best safety restrained by a proper Child Restraint System in the rear seats. 
",,
53,"If a larger child over age 13 must be seated in the front seat, the child must be securely restrained by the available lap/shoulder belt and the seat should be placed in the rearmost position. If the shoulder belt portion slightly touches the childs neck or face, try placing the child closer to the center of the vehicle.If the shoulder belt still touches their face or neck, they need to be returned to an appropriate booster seat in the rear seat. WARNING Always make sure larger childrens seat belts are worn and properly adjusted. NEVER allow the shoulder belt to contact the childs neck or face. Do not allow more than one child to use a single seat belt. Seat belt use and injured people A seat belt should be used when an injured person is being transported. Consult a physician for specific recommendations. One person per belt Two people (including children) should never attempt to use a single seat belt. This could increase the severity of injuries in case of an accident. Do not lie down Sitting in a reclined position when the vehicle is in motion can be dangerous. Even when buckled up, the protections of your restraint system (seat belts and/or airbags) is greatly reduced by reclining your seatback. Seat belts must be snug against your hips and chest to work properly. During an accident, you could be thrown into the seat belt, causing neck or other injuries. The more the seat back is reclined, the greater the chance for the passengers hips to slide under the lap belt or the passengers neck to strike the shoulder belt. WARNING  NEVER ride with a reclined seatback when the vehicle is moving.  Riding with a reclined seatback increases your chance of serious or fatal injuries in the event of a collision or sudden stop.  Driver and passengers should always sit well back in their seats with the seatbacks upright and should be belted properly. 
",,
54,"Care of seat belts Seat belt systems should never be disassembled or modified. In addition, care should be taken to assure that seat belts and belt hardware are not damaged by seat hinges, doors or other abuse. Periodic inspection All seat belts should be inspected periodically for wear or damage of any kind. Any damaged parts should be replaced as soon as possible. Keep belts clean and dry Seat belts should be kept clean and dry. If belts become dirty, they can be cleaned by using a mild soap solution and warm water. Bleach, dye, strong detergents or abrasives should not be used because they may damage and weaken the fabric. When to replace seat belts The entire seat belt assembly or assemblies should be replaced if the vehicle has been involved in an accident. This should be done even if no damage is visible.We recommend that you consult with an authorized HYUNDAI dealer. 
",,
55,"CHILD RESTRAINT SYSTEM Children riding in the car should sit in the rear seat and must always be properly restrained to minimize the risk of injury in an accident, sudden stop or sudden maneuver. According to accident statistics, children are safer when properly restrained in the rear seats than in the front seat. Larger children not in a child restraint should use one of the seat belts provided. You should be aware of the specific requirements in your country. Child and/ or infant safety seats must be properly placed and installed in the rear seat. You must use a commercially available child restraint system that meets the requirements of the Safety Standards of your country. Child restraint systems are designed to be secured in vehicle seats by the lap belt portion of a lap/shoulder belt. Children could be injured or killed in a crash if their restraints are not properly secured. For small children and babies, a child seat or infant seat must be used. Before buying a particular child restraint system, make sure it fits your car seat and seat belts, and fits your child. Follow all the instructions provided by the manufacturer when installing the child restraint system. WARNING  A child restraint system must be placed in the rear seat. Never install a child or infant seat on the front passengers seat. Should an accident occur and cause the passenger-side airbag to deploy, it could severely injure or kill an infant or child seated in an infant or child seat. Thus, only use a child restraint in the rear seat of your vehicle.  A seat belt or child restraint system can become very hot if it is left in a closed vehicle on a sunny day, even if the outside temperature does not feel hot. Be sure to check the seat cover and buckles before placing a child there.  When the child restraint system is not in use, store it in the luggage area or fasten it with a seat belt so that it will not be thrown forward in the case of a sudden stop or an accident.  Children may be seriously injured or killed by an inflating airbag. All children, even those too large for child restraints, must ride in the rear seat. 
",,
56," Children often squirm and reposition themselves improperly. Never let a child ride with the shoulder belt under their arm or behind their back. Always properly position and secure children in rear seat. Never allow a child to stand-up or kneel on the seat or floorboard of a moving vehicle. During a collision or sudden stop, the child can be violently thrown against the vehicles interior, resulting in serious injury. Never use an infant carrier or a child safety seat that hooks over a seatback, it may not provide adequate security in an accident. Seat belts can become very hot, especially when the car is parked in direct sunlight. Always check seat belt buckles before fastening them over a child. After an accident, we recommend that the system be checked by an authorized HYUNDAI dealer. If there is not enough space to place the child restraint system because of the drivers seat, install the child restraint system in the rear right seat. WARNING To reduce the chance of serious or fatal injuries:  Children of all ages are safer when restrained in the rear seat. A child riding in the front passenger seat can be forcefully struck by an inflating airbag resulting in serious or fatal injuries.  Always follow the instructions for installation and use of the child restraint maker.  Always make sure the child seat is secured properly in the car and your child is securely restrained in the child seat.  Never hold a child in your arms or lap when riding in a vehicle. The violent forces created during a crash will tear the child from your arms and throw the child against the cars interior.  Never put a seat belt over yourself and a child. During a crash, the belt could press deep into the child causing serious internal injuries.  Never leave children unattended in a vehicle - not even for a short time. The car can heat up very quickly, resulting in serious injuries to children inside. Even very young children may inadvertently cause the vehicle to move, entangle themselves in the windows, or lock themselves or others inside the vehicle.  Never allow two children, or any two persons, to use the same seat belt. 
",,
57,"Using a child restraint system Rearward-facing child restraint system Rearward-facing child restraint system CRS09 CRS09 Forward-facing child restraint system Forward-facing child restraint system OIB034017 OIB034017 For small children and babies, the use of a child seat or infant seat is required. This child seat or infant seat should be of appropriate size for the child and it should be installed in accordance with the manufacturers instructions. For safety reasons, we recommend that the child restraint system is used in the rear seats. WARNING WARNING Child seat installation A child can be seriously injured or killed in a collision if the child restraint is not properly anchored to the car and the child is not properly restrained in the child restraint. Before installing the child restraint system, read the instructions supplied by the child restraint system manufacturer. If the seat belt does not operate as described in this section, we recommend that the system be checked by an authorized HYUNDAI dealer. Failure to observe this manuals instructions regarding child restraint system and the instructions provided with the child restraint system could increase the risk and/or severity of injury in an accident. Never place a rear-facing child restraint in the front passenger seat, because of the danger that an inflating passenger- side airbag could impact the rear- facing child restraint and kill the child. 
",,"<img file_path=(image_hyundai_exter_57_1.png)>The image shows a rear-facing child restraint system installed in the rear passenger seat of a car. The child restraint system is secured to the seat using the car's seat belt. The image is accompanied by text that warns users about the importance of properly installing a child restraint system, and the dangers of placing a rear-facing child restraint in the front passenger seat due to the risk of airbag deployment. The text also recommends consulting the manufacturer's instructions for installing the child restraint system and seeking assistance from an authorized dealer if the seat belt does not operate as described.  It emphasizes the importance of safety for children and the necessity of following all instructions regarding child restraint systems. 
</img>
<img file_path=(image_hyundai_exter_57_2.png)>The image depicts a child secured in a forward-facing child restraint system in the rear seat of a car. The child is properly secured in the seat with the harness straps and the seat is properly installed. The image highlights the importance of using a child restraint system and installing it correctly to protect children in a collision.  The text provided emphasizes that rear-facing child restraint systems should never be placed in the front passenger seat due to the risk of airbag deployment, which could severely injure or</img>
"
58,"Installing a Child Restraint System (CRS) WARNING Before installing your Child Restraint System always: Read and follow the instructions provided by the manufacturer of the Child Restraint System. Failure to follow all warnings and instructions could increase the risk of the SERIOUS INJURY or DEATH if an accident occurs. WARNING If the vehicle headrest prevents proper installation of a Child Restraint System (as described in the Child Restraint System manual), the headrest of the respective seating position shall be readjusted or entirely removed. After selecting a proper Child Restraint System and checking that the Child Restraint System fits properly in the rear of this vehicle, you are ready to install the Child Restraint System according to the manufacturers instruction. There are three general steps in installing the Child Restraint System properly:  Properly secure the Child Restraint System to the vehicle. All Child Restraint Systems must be secured to the vehicle with the lap belt or lap part of a lap/shoulder belt or with the top- tether and/or ISOFIX anchorage.  Make sure the Child Restraint System is firmly secured. After installing a Child Restraint System to the vehicle, push and pull the Child Restraint System forward and from side- to-side to verify that it is securely attached to the vehicle seat. A Child Restraint System secured with a seat belt should be installed as firmly as possible. However, some side-to-side movement can be expected. When installing a Child Restraint System, adjust the vehicle seat (up and down, forward and rearward) so that your child fits in the Child Restraint System in a comfortable manner.  Secure the child in the Child Restraint System. Make sure the child is properly strapped in the Child Restraint System according to the Child Restraint System manufacturers instructions. WARNING A Child Restraint System in a closed vehicle can become very hot. To prevent burns, check the seating surface and buckles before placing your child in the Child Restraint System. 
",,
59,"ISOFIX anchorage and top-tether anchorage (ISOFIX system) for children (if equipped) The ISOFIX system holds a Child Restraint System during driving and in an accident. This system is designed to make installation of the Child Restraint System easier and reduce the possibility of improperly installing your Child Restraint System. The ISOFIX system uses anchors in the vehicle and attachments on the Child Restraint System. The ISOFIX system eliminates the need to use seat belts to secure the Child Restraint System to the rear seats. ISOFIX anchors are metal bars built into the vehicle. There are two lower anchors for each ISOFIX seating position that will accommodate a Child Restraint System with lower attachments. To use the ISOFIX system in your vehicle, you must have a Child Restraint System with ISOFIX attachments. (An ISOFIX-Child Restraint System may only be installed if it has vehicle-specific or universal approval in accordance with the requirements of ECE-R 44 or ECE-R 129.) The Child Restraint System manufacturer will provide you with instructions on how to use the Child Restraint System with its attachments for the lower anchorages. ISOFIX anchorages have been provided in the left and right outboard rear seating positions. Their locations are shown in the illustration. There are no ISOFIX anchorages provided for the center rear seating position. WARNING Do not attempt to install a Child Restraint System using ISOFIX anchorages in the rear center seating position. There are no ISOFIX anchorages provided for this seat. Using the outboard seat anchorages, for the CRS installation on the rear center seating position, can damage the anchorages which may break or fail in a collision resulting in serious injury or death. 
",,"<img file_path=(image_hyundai_exter_59_1.jpeg)>The image shows a top-down view of a vehicle's rear seating area. The rear seats are depicted with two circles indicating the locations of the ISOFIX anchorages. These anchorages are located on the left and right outboard rear seating positions, but not in the center rear seating position. The text states that the ISOFIX system is designed to make the installation of a child restraint system easier and reduce the possibility of improper installation. It also emphasizes the importance of using ISOFIX anchor</img>
"
60,"Securing a Child Restraint System with the ISOFIX system To install a ISOFIX-compatible Child Restraint System in either of the rear outboard seating positions: 1. Move the seat belt buckle away from the ISOFIX anchorages. 2. Move any other objects away from the anchors that could prevent a secure connection between the Child Restraint System and the ISOFIX anchorages. 3. Place the Child Restraint System on the vehicle seat, then attach the seat to the ISOFIX anchorages according to the instructions provided by the Child Restraint System manufacturer. 4. Follow the instructions of the Child Restraint Systems manufacturer for proper installation and connection of the ISOFIX attachments on the Child Restraint System to the ISOFIX anchorages. WARNING Take the following precautions when using the ISOFIX system: Read and follow all installation instructions provided with your Child Restraint System. To prevent the child from reaching and taking hold of unretracted seat belts, buckle all unused rear seat belts and retract the seat belt webbing behind the child. Children can be strangled if a shoulder belt becomes wrapped around their neck and the seat belt tightens. The ISOFIX anchorages symbols are located on the left and right rear seat cushions to identify the position of the ISOFIX anchorages in your vehicle (see arrows in illustration). OAI3V033017 OAI3V033017 Both rear outboard seats are equipped with a pair of ISOFIX anchorages as well as a corresponding top-tether anchorage on the back side of the rear seats. (Child Restraint Systems with universal approval according to ECE-R44 or ECE-R129 need to be fixed additionally with a top-tether connected to the corresponding top-tether anchorage point on the back side of the rear seats.) ISOFIX anchorages are located between the seatback and the seat cushion of the rear seat left and right outboard seating positions. 
",,"<img file_path=(image_hyundai_exter_60_1.jpeg)>The image illustrates the location of the ISOFIX anchorages in a vehicle. The image shows a rear view of a vehicle's back seats. Two close-up images are included, showing a ""ISOFIX"" label located on the seat and the ISOFIX anchorages between the seatback and the seat cushion. The arrows in the main image point to the location of the ISOFIX anchorages on both rear outboard seats. The ISOFIX anchorages are used to securely install a child restraint system in the vehicle.  The text data mentions that both rear outboard seats are equipped with a pair of ISOFIX anchorages as well as a corresponding top-tether anchorage on the back side of the rear seats.  It also states that child restraint systems with universal approval according to ECE-R44 or ECE-R129 need to be fixed additionally with a top-tether connected to the corresponding top-tether anchorage point on the back side of the rear seats. 
</img>
<img file_path=(image_hyundai_exter_60_2.jpeg)>The image shows the backseat of a car with a close-up of the right rear seat. The image shows how to install an ISOFIX-compatible Child Restraint System. The image focuses on the ISOFIX anchorages, which are located between the seatback and the seat cushion of the rear seat left and right outboard seating positions. The ISOFIX anchorages symbols are located on the left and right rear seat cushions to identify the position of the ISOFIX anchorages in your vehicle. Both rear outboard seats are equipped with a pair of ISOFIX anchorages as well as a corresponding top-tether anchorage on the back side of the rear seats. The image also highlights that the seatbelt buckle should be moved away from the ISOFIX anchorages and that any other objects that could prevent a secure connection between the Child Restraint System and the ISOFIX anchorages should be moved.</img>
"
61," NEVER attach more than one Child Restraint System to a single anchorage. This could cause the anchor or attachment to come loose or break. Always have the ISOFIX system inspected by your dealer after an accident. An accident can damage the ISOFIX system and may not properly secure the Child Restraint System. Securing a Child Restraint System with Top-tether anchorage system (if equipped) WARNING Take the following precautions when installing the top-tether: Read and follow all installation instructions provided with your Child Restraint System. NEVER attach more than one Child Restraint System to a single top- tether anchorage. This could cause the anchorage or attachment to come loose or break. Do not attach the top-tether to anything other than the correct top- tether anchorage. It may not work properly if attached to something else. Child Restraint System anchorages are designed to withstand only those loads imposed by correctly fitted Child Restraint Systems. Do not use them for adult seat belts, harnesses, or for attaching other items or equipment to the vehicle. OAI3V033038 OAI3V033038 Top-tether anchorages for Child Restraint Systems are located on the floor of the luggage room or on the package tray. Type A Type A OAI3039034 OAI3039034   Type B Type B 
",,"<img file_path=(image_hyundai_exter_61_1.jpeg)>The image shows the location of the top-tether anchorages for child restraint systems in the luggage compartment of a vehicle. There are two types of anchorages: Type A and Type B. Type A anchorages are located on the floor of the luggage room, while Type B anchorages are located on the package tray. The image also shows a close-up of a Type A anchorage, which is a metal loop with a spring-loaded latch. The image is accompanied by text that provides important safety information about the use of top-tether anchorages. The text emphasizes that the anchorages are designed for use with child restraint systems only and should not be used for other purposes. It also warns against attaching more than one child restraint system to a single top-tether anchorage, as this could cause the anchorage or attachment to come loose or break. Finally, the text advises drivers to read and follow all installation instructions provided with their child restraint system. 
</img>
<img file_path=(image_hyundai_exter_61_2.jpeg)>The image shows the location of top-tether anchorages for child restraint systems. The anchorages are located in the luggage room or on the package tray. There are two types of anchorages: Type A and Type B. Type A anchorages are located on the floor of the luggage room and are indicated by a down arrow. Type B anchorages are located on the package tray and are indicated by a curved arrow. The image also shows how to attach the top-tether strap to the anchorages.  The strap should be pulled down and attached to the anchorage, and it should not be attached to anything other than the correct top-tether anchorage. The strap should be secured so that it is taut and there is no slack in the strap. The image also provides a warning about the importance of correctly installing a top-tether, and that it should not be attached to anything other than the correct anchorage.</img>
"
62,"To install the top-tether: 1. Route the Child Restraint System top-tether over the Child Restraint System seatback. Route the top-tether under the headrest and between the headrest posts, or route the top-tether over the top of the vehicle seatback. Make sure the strap is not twisted. 2. Connect the top-tether to the top- tether anchorage, then tighten the top-tether according to the instructions of your Child Restraint Systems manufacturer to firmly attach the Child Restraint System to the seat. 3. Check that the Child Restraint System is securely attached to the seat by pushing and pulling the seat forward and from side-to-side. 
",,"<img file_path=(image_hyundai_exter_62_1.jpeg)>The image depicts the proper installation of a child restraint system in the backseat of a vehicle. The child restraint system, which appears to be a forward-facing car seat, is secured to the seat using the vehicle's seat belt and a top tether. The top tether strap is routed over the seatback, under the headrest, and connected to the top tether anchorage point. The image emphasizes the importance of securely attaching the child restraint system to the seat by pushing and pulling it forward and from side-to-side to ensure stability. The image also demonstrates the proper positioning of the child restraint system on the seat, ensuring that it is positioned correctly for optimal safety. 
</img>
"
63,,"The table seems to categorize seating positions in a vehicle and the corresponding weight restrictions or mass groups associated with them. It starts by listing the seating positions, such as rear outboard right, rear center, and front passenger, across the rows. The columns represent different weight ranges or mass groups, with the center column indicating the seating positions' ability to accommodate the specified weight ranges. 

The rear outboard right and left seats are indicated with a simple 'U' across all weight ranges, which could mean these seats have no specific restrictions and can accommodate all the weight groups mentioned. The front passenger seat, however, is marked with an 'X' across the board, suggesting it might be restricted to certain weight ranges. 

The mass groups are divided into six categories, ranging from 'up to 10 kg' to '22 to 36 kg.' These seem to be infant and child weight groups, with the final group being the heaviest. The seating positions seem to correlate with these weight groups, where the rear seats can accommodate a wider range of weights, while the front passenger seat is more restricted. 

The table seems to be a quick reference for understanding what weight groups various seating positions in a vehicle cater to, possibly for the purpose of choosing the appropriate child safety seats or understanding seating capacity.
",
64,"Installing a child restraint system by lap/shoulder belt 3. Buckle the seat belt and allow the seat belt to take up any slack. After installation of the child restraint system, try to move it in all directions to be sure the child restraint system is securely installed. If you need to tighten the belt, pull more webbing toward the retractor. When you unbuckle the seat belt and allow it to retract, the retractor will automatically revert back to its normal seated passenger emergency locking usage condition. To install a child restraint system on the outboard or center rear seats, do the following: 1. Place the child restraint system in the seat and route the lap/shoulder belt around or through the restraint, following the restraint manufacturers instructions. Be sure the seat belt webbing is not twisted. E2BLD310 E2BLD310 2. Fasten the lap/shoulder belt latch into the buckle. Listen for the distinct Click sound. Position the release button so that it is easy to access in case of an emergency. E2MS103005 E2MS103005 
",,"<img file_path=(image_hyundai_exter_64_1.jpeg)>The image shows a child restraint system installed in a car seat. The child restraint system is secured by a lap/shoulder belt. The belt is routed around the restraint and fastened into the buckle. The image also shows hands pulling the belt tighter. The belt is pulled until it is taut, and the release button is positioned for easy access. The image illustrates the second step in installing a child restraint system using a lap/shoulder belt.</img>
<img file_path=(image_hyundai_exter_64_2.jpeg)>The image depicts the final step of installing a child restraint system using a lap/shoulder belt. The image shows a person holding the seat belt while the other hand is pushing the latch plate into the buckle. This step is the final step of securing the child restraint system into place, ensuring that it is firmly attached to the seat. After this step, it is advised to move the system in all directions to check for any looseness. The image also indicates that the release button should be easily accessible in case of an emergency. This process ensures the safety of the child in the event of an accident. 
</img>
"
65,,"The table provides information on vehicle ISOFIX positions and their respective characteristics. It appears to be focused on the fixing positions for child restraints or seats, detailing where and how many ISOFIX points are available in different vehicles. 

The first row lists the ISOFIX positions available in the second row of the vehicle, with 'X' indicating the presence of a fix and 'IL' (Inboard Left) or 'IUF' (Inboard Right Forward) describing the position. The second and third rows specify the center, outboard left, and outboard right positions, with 'N/A' indicating no data available. 

The fourth row provides information on the front passenger seat, while the fifth row describes the fixture type, with ISO/L referring to Lower Anchorage, ISO/R to Rear Anchorage, and ISO/F to Forward Anchorage. The final two rows detail the size class and mass group, with categories ranging from 'A' to 'G' and specific mass measurements. 

Overall, the data relates to the ISOFIX attachment points for child seats in different vehicle models, seemingly aimed at helping parents choose an appropriate vehicle with the necessary safety features.
",
